Gender,Test preparation course,Scholarship sem.3,Scholarship sem.4,Lunchtime,Integral and Differential Equations,Physics,Object-oriented programming,Applied mechanics,Physics vol. 2,CAD Software,Probability
male,false,false,false,false,4,4,3,5,3,3,3 
female,true,true,true,true,4,5,4,5,5,4,4
female,true,true,false,true,4,4,4,5,4,4,3
male,true,true,false,true,5,4,4,5,4,4,3
male,true,true,false,true,4,4,4,5,4,3,3
female,false,true,false,true,4,4,4,5,3,3,3
male,false,false,false,true,3,4,4,4,3,3,3
male,false,false,false,true,3,4,3,4,3,3,3
female,true,true,true,false,4,5,4,5,4,4,4
male,false,false,false,false,3,4,3,4,3,3,3
male,false,false,false,false,3,4,3,4,3,3,3
male,false,false,false,true,4,4,3,5,4,4,3
male,true,true,true,false,5,5,5,5,5,4,5
male,false,true,false,true,4,4,4,4,3,3,4
male,true,true,false,false,4,5,4,5,4,4,3
male,false,false,false,true,3,4,4,5,3,4,3
male,false,false,false,true,3,4,4,4,3,3,3
male,true,true,true,true,5,5,4,5,4,4,4
male,true,true,true,true,4,4,4,5,4,4,4
male,false,false,false,true,4,3,4,5,3,4,4
male,true,true,true,true,5,5,4,5,5,4,4
male,true,false,false,true,4,4,3,5,4,3,3
female,true,false,true,true,5,4,3,5,4,4,4 
male,true,false,false,true,4,3,3,4,4,3,3
female,true,false,false,false,4,4,3,5,4,3,3
female,true,true,true,true,5,5,4,5,4,4,4
male,true,true,true,false,5,4,4,5,4,4,4
male,true,true,true,true,5,4,4,5,5,4,5
male,true,true,true,false,5,4,4,5,4,4,4
male,true,false,false,true,5,5,3,5,5,4,4
male,true,true,true,false,5,5,5,5,5,4,4
male,false,false,false,true,4,4,3,5,3,3,3 
female,true,true,false,true,5,5,4,5,4,3,4
male,true,false,false,true,4,4,3,5,3,3,3
female,true,false,false,true,4,3,3,5,4,3,4
male,true,false,false,true,3,3,3,4,3,3,3
male,true,true,true,false,5,4,4,5,4,4,4
male,true,true,false,true,5,4,5,4,5,4,3
male,false,false,false,true,3,3,3,5,4,3,3
male,false,false,false,true,3,4,4,5,4,4,3
male,false,false,false,false,3,4,3,5,4,3,3
male,false,false,false,false,3,3,3,5,4,4,3
female,true,true,true,true,5,5,4,5,4,4,5
female,false,false,false,true,3,3,3,4,4,3,3
male,true,false,false,false,4,4,3,5,4,3,4
female,false,true,true,false,3,3,3,5,4,3,3
male,false,false,true,true,4,3,4,5,4,4,4
male,true,false,false,true,3,3,3,5,4,4,3
male,true,true,true,true,5,5,5,5,5,4,4
female,true,true,true,false,4,4,4,5,4,4,5
male,true,true,true,false,5,4,4,5,5,4,5
male,true,false,true,false,3,4,4,5,4,4,5
male,true,true,true,false,4,4,5,5,4,4,4
male,false,false,false,false,3,4,3,5,4,3,3
male,true,false,false,true,3,3,3,5,4,4,3
male,false,false,false,false,3,3,3,5,4,3,3
female,true,false,false,false,3,3,3,5,5,3,3
male,false,false,false,false,3,4,4,4,4,3,3
female,true,true,true,true,5,4,5,5,5,5,5
male,true,true,false,true,4,4,5,5,5,3,3
male,true,true,false,true,4,4,4,5,5,3,3
male,true,true,true,true,4,5,5,5,5,4,4
male,false,false,false,false,3,3,3,5,4,3,3
male,false,false,false,false,3,3,3,5,4,3,3
male,true,false,false,false,3,4,3,5,5,3,3
male,false,false,false,false,3,4,3,5,3,3,3
female,false,false,false,false,3,4,3,5,4,4,3
male,true,true,true,false,4,4,4,5,4,4,4
male,true,true,true,true,5,5,5,5,5,5,5
male,true,false,false,false,4,4,4,4,3,3,3
